"filename", "language", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "Markdown", "HTML", "CSS", "TypeScript JSX", "SCSS", "XML", "Properties", "comment", "blank", "total"
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeEditBox\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 15, 60
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeEditBox\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 1, 3, 86
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeEditor\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 3, 11, 62
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\CodeEditor\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 12, 11, 150
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\Commit\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DatasetItem\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DatasetItem\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DatasetListItem\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DiffComponent\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 3, 13, 84
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\DiffComponent\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 9, 5, 67
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ErrorStatus\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\FileBreadcrumb\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\FileBreadcrumb\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 1, 2, 32
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\FilesTableHeader\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 4, 37
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\FilesTableHeader\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 2, 26
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\GlobalHeader\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 1, 9, 59
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\GlobalHeader\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 1, 8, 109
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\LabelBlock\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 3, 8, 54
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\LoadingStatus\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 6
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\LoadingStatus\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelIcon\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelIcon\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelItem\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 9, 50
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelItem\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 3, 3, 35
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelListItem\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\ModelListItem\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\PersonalIcon\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\TasksMainPage\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 6, 4, 38
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\UpdateMessage\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\components\UpdateMessage\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 4, 30
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 9, 48
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 5, 8, 26
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\FileContent.d.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\dataset.d.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 1, 9, 68
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\datasetDetail.d.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 7, 36
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\loadingStatus.d.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\login.d.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\model.d.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 9, 65
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\modelDetail.d.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 9, 48
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\personalFiles.d.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\signUp.d.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\models\trendingList.d.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\CreateItem\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 10, 66
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\CreateItem\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 2, 4, 111
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Doc\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Doc\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Home\HomeLoggedIn\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 2, 8, 49
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Home\HomeLoggedIn\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 1, 9, 178
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Home\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 7, 4, 30
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\DeleteFile\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 3, 25
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\DeleteFile\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 4, 5, 76
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\ItemCard\hahaha.md", "Markdown", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 34, 114
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\ItemCard\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 6, 29
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\ItemCard\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 3, 4, 61
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\ItemFilesTable\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 15, 67
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\ItemFilesTable\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 11, 6, 179
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\NewFile\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\NewFile\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 8, 4, 116
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\UploadFile\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 6, 42
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\UploadFile\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 7, 6, 103
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\ItemDetails\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 5, 3, 112
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ItemLabel\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 6, 36
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ItemLabel\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 4, 9, 114
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ItemList\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ItemList\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ListHeader\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 3, 20
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ListHeader\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 3, 2, 56
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ListPagination\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\ListPagination\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 5, 38
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 3, 27
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Item\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 1, 65
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\LogIn\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 8, 55
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\LogIn\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 6, 6, 91
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Notification\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Profile\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Profile\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 2, 75
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Setting\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\SignUp\CompleteProfile\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\SignUp\CompleteProfile\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 16, 5, 114
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\SignUp\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 8, 5, 130
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\User\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\pages\Welcome\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"f:\研究生学习\编程学习\my_projects\model_library_ts\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 3, 15, 72
